,name
1,3S
2,AJ네트웍스
3,AK홀딩스
4,APS홀딩스
5,AP시스템
6,AP위성
7,BGF
8,BGF리테일
9,BGF에코머티리얼즈
10,BNK금융지주
11,BYC
12,CBI
13,CJ
14,CJ CGV
15,CJ ENM
16,CJ 바이오사이언스
17,CJ대한통운
18,CJ씨푸드
19,CJ제일제당
20,CJ프레시웨이
21,CMG제약
22,CNH
23,CNT85
24,CS
25,CSA 코스믹
26,CS홀딩스
27,DB
28,DB금융스팩10호
29,DB금융스팩8호
30,DB금융스팩9호
31,DB금융투자
32,DB손해보험
33,DB하이텍
34,DGB금융지주
35,DI동일
36,DL
37,DL건설
38,DL이앤씨
39,DMS
40,DN오토모티브
41,DRB동일
42,DSC인베스트먼트
43,DSR
44,DSR제강
45,E1
46,EDGC
47,EG
48,EMB
49,ESR켄달스퀘어리츠
50,ES큐브
51,F&F
52,F&F홀딩스
53,FSN
54,GH신소재
55,GKL
56,GRT
57,GS
58,GST
59,GS건설
60,GS글로벌
61,GS리테일
62,HB솔루션
63,HB테크놀러지
64,HDC
65,HDC랩스
66,HDC현대EP
67,HDC현대산업개발
68,HD현대
69,HJ중공업
70,HK이노엔
71,HL D&I
72,HLB
73,HLB글로벌
74,HLB사이언스
75,HLB생명과학
76,HLB제약
77,HLB테라퓨틱스
78,HL만도
79,HL홀딩스
80,HMM
81,HPSP
82,HRS
83,HSD엔진
84,IBKS제13호스팩
85,IBKS제16호스팩
86,IBKS제17호스팩
87,IBKS제18호스팩
88,IBKS제19호스팩
89,IBKS제20호스팩
90,IBKS제21호스팩
91,IHQ
92,ISC
93,ITX-AI
94,JB금융지주
95,JTC
96,JW생명과학
97,JW신약
98,JW중외제약
99,JW홀딩스
100,JYP Ent.
101,KBG
102,KBI메탈
103,KB금융
104,KB스타리츠
105,KB오토시스
106,KCC
107,KCC건설
108,KCC글라스
109,KCI
110,KCTC
111,KC그린홀딩스
112,KC산업
113,KC코트렐
114,KD
115,KEC
116,KG ETS
117,KG모빌리언스
118,KG스틸
119,KG이니시스
120,KG케미칼
121,KH 건설
122,KH 전자
123,KH 필룩스
124,KH바텍
125,KISCO홀딩스
126,KNN
127,KPX생명과학
128,KPX케미칼
129,KPX홀딩스
130,KR모터스
131,KSS해운
132,KT
133,KT&G
134,KTcs
135,KTis
136,KT서브마린
137,KX
138,KX하이텍
139,LF
140,LG
141,LG디스플레이
142,LG생활건강
143,LG에너지솔루션
144,LG유플러스
145,LG이노텍
146,LG전자
147,LG헬로비전
148,LG화학
149,LIG넥스원
150,LS
151,LS ELECTRIC
152,LS네트웍스
153,LS전선아시아
154,LX세미콘
155,LX인터내셔널
156,LX하우시스
157,LX홀딩스
158,MDS테크
159,MH에탄올
160,NAVER
161,NEW
162,NE능률
163,NHN
164,NHN벅스
165,NHN한국사이버결제
166,NH올원리츠
167,NH투자증권
168,NH프라임리츠
169,NICE
170,NICE평가정보
171,NI스틸
172,NPC
173,OCI
174,PI첨단소재
175,PN풍년
176,POSCO홀딩스
177,RFHIC
178,RF머트리얼즈
179,S&K폴리텍
180,S-Oil
181,SAMG엔터
182,SBI인베스트먼트
183,SBI핀테크솔루션즈
184,SBS
185,SBS콘텐츠허브
186,SBW생명과학
187,SCI평가정보
188,SDN
189,SFA반도체
190,SG
191,SG&G
192,SGA
193,SGA솔루션즈
194,SGC에너지
195,SGC이테크건설
196,SG글로벌
197,SG세계물산
198,SHD
199,SH에너지화학
200,SIMPAC
201,SJM
202,SJM홀딩스
203,SK
204,SKC
205,SK가스
206,SK네트웍스
207,SK디스커버리
208,SK디앤디
209,SK렌터카
210,SK리츠
211,SK바이오사이언스
212,SK바이오팜
213,SK스퀘어
214,SK시그넷
215,SK아이이테크놀로지
216,SK이노베이션
217,SK증권
218,SK케미칼
219,SK텔레콤
220,SK하이닉스
221,SM C&C
222,SM Life Design
223,SNT모티브
224,SNT에너지
225,SNT중공업
226,SNT홀딩스
227,SPC삼립
228,STX
229,STX엔진
230,STX중공업
231,SUN&L
232,SV인베스트먼트
233,TBH글로벌
234,TCC스틸
235,THE E&M
236,THE MIDONG
237,TJ미디어
238,TKG애강
239,TKG휴켐스
240,TPC
241,TS인베스트먼트
242,TS트릴리온
243,TYM
244,UCI
245,WISCOM
246,YBM넷
247,YG PLUS
248,YTN
249,YW
250,iMBC
251,가비아
252,가온미디어
253,가온전선
254,가온칩스
255,감성코퍼레이션
256,강남제비스코
